cell,uid,origin,snr,fold,action,oof_nrmse
forecast|snrHigh|full,S_both:d_hi_full:0,S_both,11.825697423683575,0,v_none,0.6258421570307525
forecast|snrHigh|full,S_both:d_hi_full:0,S_both,11.825697423683575,0,v_median,0.4695918690230843
forecast|snrHigh|full,S_both:d_hi_full:0,S_both,11.825697423683575,0,v_savgol,0.7771097320888273
forecast|snrHigh|full,S_both:d_hi_full:0,S_both,11.825697423683575,0,v_stl,0.8300717118454621
forecast|snrHigh|full,S_both:d_hi_full:0,S_both,11.825697423683575,0,v_winsor,1.0194189587572344
forecast|snrHigh|full,S_both:d_hi_full:0,S_both,11.825697423683575,0,v_winsor_savgol,0.9486279655450617
forecast|snrHigh|full,S_both:d_hi_full:1,S_both,11.386923384625998,1,v_none,0.6150239557075635
forecast|snrHigh|full,S_both:d_hi_full:1,S_both,11.386923384625998,1,v_median,0.5502358474292894
forecast|snrHigh|full,S_both:d_hi_full:1,S_both,11.386923384625998,1,v_savgol,0.7274726816591813
forecast|snrHigh|full,S_both:d_hi_full:1,S_both,11.386923384625998,1,v_stl,0.7900537657453459
forecast|snrHigh|full,S_both:d_hi_full:1,S_both,11.386923384625998,1,v_winsor,0.9734723366349544
forecast|snrHigh|full,S_both:d_hi_full:1,S_both,11.386923384625998,1,v_winsor_savgol,0.8954358299299189
forecast|snrHigh|full,S_both:d_hi_full:10,S_both,12.229136673159617,2,v_none,0.644864783214785
forecast|snrHigh|full,S_both:d_hi_full:10,S_both,12.229136673159617,2,v_median,0.5192336852405519
forecast|snrHigh|full,S_both:d_hi_full:10,S_both,12.229136673159617,2,v_savgol,0.8176536761699106
forecast|snrHigh|full,S_both:d_hi_full:10,S_both,12.229136673159617,2,v_stl,0.8758632529909675
forecast|snrHigh|full,S_both:d_hi_full:10,S_both,12.229136673159617,2,v_winsor,1.0305395361452654
forecast|snrHigh|full,S_both:d_hi_full:10,S_both,12.229136673159617,2,v_winsor_savgol,0.9404497943176072
forecast|snrHigh|full,S_both:d_hi_full:11,S_both,11.982453003658497,3,v_none,0.623858582592378
forecast|snrHigh|full,S_both:d_hi_full:11,S_both,11.982453003658497,3,v_median,0.44464423639114903
forecast|snrHigh|full,S_both:d_hi_full:11,S_both,11.982453003658497,3,v_savgol,0.7412174177752708
forecast|snrHigh|full,S_both:d_hi_full:11,S_both,11.982453003658497,3,v_stl,0.8251119933929169
forecast|snrHigh|full,S_both:d_hi_full:11,S_both,11.982453003658497,3,v_winsor,1.0338055564549011
forecast|snrHigh|full,S_both:d_hi_full:11,S_both,11.982453003658497,3,v_winsor_savgol,0.9754420314203119
forecast|snrHigh|full,S_both:d_hi_full:12,S_both,13.49389689980896,4,v_none,0.6804311038377608
forecast|snrHigh|full,S_both:d_hi_full:12,S_both,13.49389689980896,4,v_median,0.5221465704049542
forecast|snrHigh|full,S_both:d_hi_full:12,S_both,13.49389689980896,4,v_savgol,0.7688053855037312
forecast|snrHigh|full,S_both:d_hi_full:12,S_both,13.49389689980896,4,v_stl,0.7977345527596903
forecast|snrHigh|full,S_both:d_hi_full:12,S_both,13.49389689980896,4,v_winsor,1.0021512453823618
forecast|snrHigh|full,S_both:d_hi_full:12,S_both,13.49389689980896,4,v_winsor_savgol,0.9493973058837839
forecast|snrHigh|full,S_both:d_hi_full:13,S_both,12.68725105072269,0,v_none,1.8213507553001078
forecast|snrHigh|full,S_both:d_hi_full:13,S_both,12.68725105072269,0,v_median,2.0378717510034043
forecast|snrHigh|full,S_both:d_hi_full:13,S_both,12.68725105072269,0,v_savgol,3.173239054322436
forecast|snrHigh|full,S_both:d_hi_full:13,S_both,12.68725105072269,0,v_stl,2.728683326548174
forecast|snrHigh|full,S_both:d_hi_full:13,S_both,12.68725105072269,0,v_winsor,1.8127946918571847
forecast|snrHigh|full,S_both:d_hi_full:13,S_both,12.68725105072269,0,v_winsor_savgol,3.256451769339792
forecast|snrHigh|full,S_both:d_hi_full:14,S_both,9.7131387139348,1,v_none,0.6195276640092165
forecast|snrHigh|full,S_both:d_hi_full:14,S_both,9.7131387139348,1,v_median,0.5232984353462076
forecast|snrHigh|full,S_both:d_hi_full:14,S_both,9.7131387139348,1,v_savgol,0.7015624188650227
forecast|snrHigh|full,S_both:d_hi_full:14,S_both,9.7131387139348,1,v_stl,0.7590086164381779
forecast|snrHigh|full,S_both:d_hi_full:14,S_both,9.7131387139348,1,v_winsor,1.0847988947481257
forecast|snrHigh|full,S_both:d_hi_full:14,S_both,9.7131387139348,1,v_winsor_savgol,1.0309665937251575
forecast|snrHigh|full,S_both:d_hi_full:15,S_both,11.486238793653667,2,v_none,0.6625167717154247
forecast|snrHigh|full,S_both:d_hi_full:15,S_both,11.486238793653667,2,v_median,0.4474155987201797
forecast|snrHigh|full,S_both:d_hi_full:15,S_both,11.486238793653667,2,v_savgol,0.8149125941266722
forecast|snrHigh|full,S_both:d_hi_full:15,S_both,11.486238793653667,2,v_stl,0.8599407089309435
forecast|snrHigh|full,S_both:d_hi_full:15,S_both,11.486238793653667,2,v_winsor,1.028660331591979
forecast|snrHigh|full,S_both:d_hi_full:15,S_both,11.486238793653667,2,v_winsor_savgol,0.9606706244636012
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_none,0.7808267010227807
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_median,0.7074358080630163
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_savgol,0.9417808682785639
forecast|snrHigh|full,S_both:d_hi_full:16,S_both,11.783969136859152,3,v_stl,0.9524586127927086
